biovolume_um3,mean_thickness_um,roughness_Ra,coverage,file,series,fov,condition,day,species,threshold
69688.95823892218,0.620440670587044,0.3066242453275474,0.3485116958618164,220817_HOBIC22_5Spezies_FISH_Tag21.lif,1,91 2,CH,21,F.nucleatum,0.4683082401752472
54172.91344343155,0.5834018119108144,0.24198218452897155,0.288116455078125,220817_HOBIC22_5Spezies_FISH_Tag21.lif,1,91 2,CH,21,P.gingivalis,0.784590482711792
45896.141582165954,0.5882164536218926,0.2520588130507918,0.24209880828857422,220817_HOBIC22_5Spezies_FISH_Tag21.lif,2,91 3,CH,21,S.oralis,0.8019460439682007
59486.50102663699,0.6308218348994646,0.32248795282720505,0.29259395599365234,220817_HOBIC22_5Spezies_FISH_Tag21.lif,2,91 3,CH,21,A.naeslundii,0.8781550526618958
67135.26849809472,0.6560343385923969,0.3542121314690516,0.31752490997314453,220817_HOBIC22_5Spezies_FISH_Tag21.lif,2,91 3,CH,21,Vd/Vp,0.8010416626930237
100346.61328309095,0.7156175853369309,0.40195590019209543,0.4350862503051758,220817_HOBIC22_5Spezies_FISH_Tag21.lif,2,91 3,CH,21,F.nucleatum,0.3709433078765869
63018.333745811135,0.6274641638256588,0.31809609488323476,0.31162452697753906,220817_HOBIC22_5Spezies_FISH_Tag21.lif,2,91 3,CH,21,P.gingivalis,0.7120049595832825
48166.73727753888,0.5777423999439625,0.23043036485494536,0.2586822509765625,220817_HOBIC22_5Spezies_FISH_Tag21.lif,3,91 4,CH,21,S.oralis,0.647087574005127
59483.579360768636,0.5932222555994567,0.26100290736729453,0.3111238479614258,220817_HOBIC22_5Spezies_FISH_Tag21.lif,3,91 4,CH,21,A.naeslundii,0.7454427480697632
57686.908623619966,0.5913870269248344,0.2577995382530792,0.30266284942626953,220817_HOBIC22_5Spezies_FISH_Tag21.lif,3,91 4,CH,21,Vd/Vp,0.7327009439468384
67760.04367825862,0.603016731447265,0.2783366857692584,0.34865665435791016,220817_HOBIC22_5Spezies_FISH_Tag21.lif,3,91 4,CH,21,F.nucleatum,0.3959856927394867
57535.90462979251,0.5895956144329378,0.2542885220186173,0.30278778076171875,220817_HOBIC22_5Spezies_FISH_Tag21.lif,3,91 4,CH,21,P.gingivalis,0.6119276285171509
53227.83142096358,0.5587481549595242,0.18608466364455722,0.2955808639526367,240416_HOBIC22_5Spezies_FISH_Tag10.lif,0,Tag10 1 1,CH,10,S.oralis,0.3444882035255432
24627.182920002433,0.5197761068548781,0.07212220012578995,0.14701175689697266,240416_HOBIC22_5Spezies_FISH_Tag10.lif,0,Tag10 1 1,CH,10,A.naeslundii,0.6099447011947632
5495.961042145728,0.5251460293685758,0.09001484616379224,0.03247261047363281,240416_HOBIC22_5Spezies_FISH_Tag10.lif,0,Tag10 1 1,CH,10,Vd/Vp,1.073128581047058
16070.546222926272,0.5319116635129911,0.11165624573584128,0.09374427795410156,240416_HOBIC22_5Spezies_FISH_Tag10.lif,0,Tag10 1 1,CH,10,F.nucleatum,0.4127117395401001
4981.44030554016,0.5250832145402708,0.08979455199137261,0.029436111450195312,240416_HOBIC22_5Spezies_FISH_Tag10.lif,0,Tag10 1 1,CH,10,P.gingivalis,0.7008740901947021
38982.71127820608,0.5858382549250559,0.24627906759137944,0.2064657211303711,240416_HOBIC22_5Spezies_FISH_Tag10.lif,1,Tag10 1 2,CH,10,S.oralis,0.42783603072166443
56931.88865448269,0.5599681690524057,0.1889238424331332,0.3154611587524414,240416_HOBIC22_5Spezies_FISH_Tag10.lif,1,Tag10 1 2,CH,10,A.naeslundii,0.5225852131843567
2289.817181348928,0.5494481377682721,0.16161561931246707,0.012930870056152344,240416_HOBIC22_5Spezies_FISH_Tag10.lif,1,Tag10 1 2,CH,10,Vd/Vp,1.7921714782714844
31570.75251397267,0.6375288158842078,0.32858146183967507,0.15365219116210938,240416_HOBIC22_5Spezies_FISH_Tag10.lif,1,Tag10 1 2,CH,10,F.nucleatum,0.2800173759460449
12814.118954816257,0.5887561373778455,0.25102778868661174,0.06753158569335938,240416_HOBIC22_5Spezies_FISH_Tag10.lif,1,Tag10 1 2,CH,10,P.gingivalis,0.4138668179512024
60452.95734151027,1.3580025422207493,0.5924376812053073,0.1381244659423828,240416_HOBIC22_5Spezies_FISH_Tag10.lif,2,Tag10 1 3,CH,10,S.oralis,0.46221494674682617
62439.382588214015,0.5936609699148145,0.2636939210074489,0.3263425827026367,240416_HOBIC22_5Spezies_FISH_Tag10.lif,2,Tag10 1 3,CH,10,A.naeslundii,0.6852058172225952
72282.62867057971,0.8200039024390243,0.47412688588746416,0.27350902557373047,240416_HOBIC22_5Spezies_FISH_Tag10.lif,2,Tag10 1 3,CH,10,Vd/Vp,0.6694568395614624
68191.52759544787,0.8076833437693399,0.4644973884903148,0.2619647979736328,240416_HOBIC22_5Spezies_FISH_Tag10.lif,2,Tag10 1 3,CH,10,F.nucleatum,0.355373740196228
2262.445785319104,0.6721068206720234,0.33572859866576943,0.01044464111328125,240416_HOBIC22_5Spezies_FISH_Tag10.lif,2,Tag10 1 3,CH,10,P.gingivalis,2.610584259033203
28499.005283120063,0.653630768308931,0.3919966437914491,0.1352853775024414,240416_HOBIC22_5Spezies_FISH_Tag10.lif,3,Tag10 1 4,CH,10,S.oralis,0.5369887948036194
55994.64899829293,0.5967256437132125,0.27144349339518253,0.2911558151245117,240416_HOBIC22_5Spezies_FISH_Tag10.lif,3,Tag10 1 4,CH,10,A.naeslundii,0.6276424527168274
42935.72519808634,0.5990953677971625,0.28678269353235525,0.22237014770507812,240416_HOBIC22_5Spezies_FISH_Tag10.lif,3,Tag10 1 4,CH,10,Vd/Vp,0.6551562547683716
67513.54734210239,0.7237215083522781,0.4314990308640023,0.28944969177246094,240416_HOBIC22_5Spezies_FISH_Tag10.lif,3,Tag10 1 4,CH,10,F.nucleatum,0.30465376377105713
92144.57455930003,0.9849438975349649,0.4609798440935985,0.29027652740478516,240416_HOBIC22_5Spezies_FISH_Tag10.lif,3,Tag10 1 4,CH,10,P.gingivalis,0.43594712018966675
27850.856776009343,0.7116193271239417,0.4369328606861241,0.12143516540527344,240416_HOBIC22_5Spezies_FISH_Tag10.lif,4,Tag10 2 1,CH,10,S.oralis,0.3264666795730591
