condition,t_day,species,phi
DH,6.0,F. nucleatum,0.07310479634042182
DH,6.0,P. gingivalis_W83,0.025580983058932423
DH,6.050000000000001,S. oralis,0.1123481970024473
DH,6.050000000000001,A. naeslundii,0.1745426951153998
DH,6.050000000000001,V. parvula,0.613114292337684
DH,6.050000000000001,F. nucleatum,0.07420666849541932
DH,6.050000000000001,P. gingivalis_W83,0.025788147049049533
DH,6.1000000000000005,S. oralis,0.1127309899331549
DH,6.1000000000000005,A. naeslundii,0.17694747949471112
DH,6.1000000000000005,V. parvula,0.6090179322482122
DH,6.1000000000000005,F. nucleatum,0.07530930804871447
DH,6.1000000000000005,P. gingivalis_W83,0.025994290275207395
DH,6.15,S. oralis,0.11309637739513011
DH,6.15,A. naeslundii,0.17934071720403758
DH,6.15,V. parvula,0.6049509959574376
DH,6.15,F. nucleatum,0.07641248167150472
DH,6.15,P. gingivalis_W83,0.026199427771890025
DH,6.2,S. oralis,0.11344444205100673
DH,6.2,A. naeslundii,0.18172172172520457
DH,6.2,V. parvula,0.6009142965823518
DH,6.2,F. nucleatum,0.07751596332570856
DH,6.2,P. gingivalis_W83,0.026403576315728323
DH,6.25,S. oralis,0.11377527850723976
DH,6.25,A. naeslundii,0.18408983647870863
DH,6.25,V. parvula,0.5969085963603902
DH,6.25,F. nucleatum,0.07861953433202024
DH,6.25,P. gingivalis_W83,0.026606754321641342
DH,6.300000000000001,S. oralis,0.11408899169628621
DH,6.300000000000001,A. naeslundii,0.18644443204940567
DH,6.300000000000001,V. parvula,0.5929346119335849
DH,6.300000000000001,F. nucleatum,0.07972298270631697
DH,6.300000000000001,P. gingivalis_W83,0.02680898161440629
DH,6.3500000000000005,S. oralis,0.11438569799175753
DH,6.3500000000000005,A. naeslundii,0.18878491096181224
DH,6.3500000000000005,V. parvula,0.5889930071121822
DH,6.3500000000000005,F. nucleatum,0.08082610436288842
DH,6.3500000000000005,P. gingivalis_W83,0.027010279571359656
DH,6.4,S. oralis,0.1146655229896834
DH,6.4,A. naeslundii,0.1911107029793409
DH,6.4,V. parvula,0.5850844012445952
DH,6.4,F. nucleatum,0.0819287019729575
DH,6.4,P. gingivalis_W83,0.02721067081342302
DH,6.45,S. oralis,0.11492860182186222
DH,6.45,A. naeslundii,0.193421267513165
DH,6.45,V. parvula,0.5812093658471769
DH,6.45,F. nucleatum,0.08303058557821578
DH,6.45,P. gingivalis_W83,0.027410179239580116
DH,6.5,S. oralis,0.11517507854960873
DH,6.5,A. naeslundii,0.19571609351591215
DH,6.5,V. parvula,0.5773684254114534
DH,6.5,F. nucleatum,0.08413157258699211
DH,6.5,P. gingivalis_W83,0.027608829936033613
DH,6.550000000000001,S. oralis,0.11540510482843674
DH,6.550000000000001,A. naeslundii,0.1979946963817655
DH,6.550000000000001,V. parvula,0.5735620627840805
DH,6.550000000000001,F. nucleatum,0.08523148701409272
DH,6.550000000000001,P. gingivalis_W83,0.027806648991624473
