condition,t_day,species,phi
CS,5.75,S. oralis,0.7638632866847862
CS,5.75,A. naeslundii,0.028056605170943008
CS,5.75,V. dispar,0.1983293220643089
CS,5.75,F. nucleatum,0.004923535956493223
CS,5.75,P. gingivalis_20709,0.004827250123468536
CS,5.800000000000001,S. oralis,0.763647659398119
CS,5.800000000000001,A. naeslundii,0.02862435933240452
CS,5.800000000000001,V. dispar,0.19795963008737896
CS,5.800000000000001,F. nucleatum,0.004930432458782313
CS,5.800000000000001,P. gingivalis_20709,0.004837918723315131
CS,5.8500000000000005,S. oralis,0.7634004856175273
CS,5.8500000000000005,A. naeslundii,0.02920372186708096
CS,5.8500000000000005,V. dispar,0.19760965824478868
CS,5.8500000000000005,F. nucleatum,0.00493743171563294
CS,5.8500000000000005,P. gingivalis_20709,0.004848702554970006
CS,5.9,S. oralis,0.7631221090684847
CS,5.9,A. naeslundii,0.029794871619847348
CS,5.9,V. dispar,0.19727889841216087
CS,5.9,F. nucleatum,0.004944526258018682
CS,5.9,P. gingivalis_20709,0.00485959464148828
CS,5.95,S. oralis,0.7628128492981984
CS,5.95,A. naeslundii,0.030397988236489117
CS,5.95,V. dispar,0.19696686567758728
CS,5.95,F. nucleatum,0.004951708711378454
CS,5.95,P. gingivalis_20709,0.004870588076346677
CS,6.0,S. oralis,0.762473000429981
CS,6.0,A. naeslundii,0.03101325213511289
CS,6.0,V. dispar,0.1966730996126218
CS,6.0,F. nucleatum,0.004958971798250889
CS,6.0,P. gingivalis_20709,0.004881676024033501
CS,6.050000000000001,S. oralis,0.7621028352499313
CS,6.050000000000001,A. naeslundii,0.031640844315963285
CS,6.050000000000001,V. dispar,0.19639716040371458
CS,6.050000000000001,F. nucleatum,0.004966308322494832
CS,6.050000000000001,P. gingivalis_20709,0.0048928517078959165
CS,6.1000000000000005,S. oralis,0.7617026023413562
CS,6.1000000000000005,A. naeslundii,0.0322809463359258
CS,6.1000000000000005,V. dispar,0.19613863173052626
CS,6.1000000000000005,F. nucleatum,0.004973711177651752
CS,6.1000000000000005,P. gingivalis_20709,0.0049041084145397635
CS,6.15,S. oralis,0.7612725322671161
CS,6.15,A. naeslundii,0.0329337400899493
CS,6.15,V. dispar,0.19589711484220237
CS,6.15,F. nucleatum,0.004981173323819293
CS,6.15,P. gingivalis_20709,0.004915439476912757
CS,6.2,S. oralis,0.7608128325742269
CS,6.2,A. naeslundii,0.03359940776227975
CS,6.2,V. dispar,0.1956722335764052
CS,6.2,F. nucleatum,0.004988687803552318
CS,6.2,P. gingivalis_20709,0.0049268382835356075
CS,6.25,S. oralis,0.7603236955985496
CS,6.25,A. naeslundii,0.03427813164402007
CS,6.25,V. dispar,0.1954636267849264
CS,6.25,F. nucleatum,0.004996247713632608
CS,6.25,P. gingivalis_20709,0.00493829825887148
CS,6.300000000000001,S. oralis,0.7598052919963244
CS,6.300000000000001,A. naeslundii,0.034970093988688555
CS,6.300000000000001,V. dispar,0.19527095491438987
CS,6.300000000000001,F. nucleatum,0.00500384622566376
CS,6.300000000000001,P. gingivalis_20709,0.00494981287493351
CS,6.3500000000000005,S. oralis,0.7592577795296035
CS,6.3500000000000005,A. naeslundii,0.035675476936848506
CS,6.3500000000000005,V. dispar,0.1950938913468852
