condition,t_day,species,phi
CH,3.4000000000000004,A. naeslundii,0.05089352799336308
CH,3.4000000000000004,V. dispar,0.14727443684017724
CH,3.4000000000000004,F. nucleatum,0.0017667161166932605
CH,3.4000000000000004,P. gingivalis_20709,5.7643201422739575e-05
CH,3.45,S. oralis,0.7993031800649042
CH,3.45,A. naeslundii,0.05075212652964687
CH,3.45,V. dispar,0.14826998359720703
CH,3.45,F. nucleatum,0.0016223300964857358
CH,3.45,P. gingivalis_20709,5.2379711756214176e-05
CH,3.5,S. oralis,0.7985740847452396
CH,3.5,A. naeslundii,0.05061566456245307
CH,3.5,V. dispar,0.1492729390745633
CH,3.5,F. nucleatum,0.001489715712203309
CH,3.5,P. gingivalis_20709,4.7595905540762696e-05
CH,3.5500000000000003,S. oralis,0.7978212906127247
CH,3.5500000000000003,A. naeslundii,0.05048416854180549
CH,3.5500000000000003,V. dispar,0.15028337630103475
CH,3.5500000000000003,F. nucleatum,0.0013679163696963214
CH,3.5500000000000003,P. gingivalis_20709,4.3248174738798866e-05
CH,3.6,S. oralis,0.7970456228391358
CH,3.6,A. naeslundii,0.0503576624875462
CH,3.6,V. dispar,0.15130136483237192
CH,3.6,F. nucleatum,0.001256052971324247
CH,3.6,P. gingivalis_20709,3.9296869621807444e-05
CH,3.6500000000000004,S. oralis,0.7962478372879558
CH,3.6500000000000004,A. naeslundii,0.05023616834592259
CH,3.6500000000000004,V. dispar,0.15232697096193584
CH,3.6500000000000004,F. nucleatum,0.0011533174737772141
CH,3.6500000000000004,P. gingivalis_20709,3.57059304086305e-05
CH,3.7,S. oralis,0.7954286260919989
CH,3.7,A. naeslundii,0.0501197063084129
CH,3.7,V. dispar,0.1533602579045323
CH,3.7,F. nucleatum,0.0010589671338893467
CH,3.7,P. gingivalis_20709,3.244256116646982e-05
CH,3.75,S. oralis,0.7945886225284265
CH,3.75,A. naeslundii,0.0500082950969741
CH,3.75,V. dispar,0.1544012859495395
CH,3.75,F. nucleatum,0.0009723194790247399
CH,3.75,P. gingivalis_20709,2.9476946035112563e-05
CH,3.8000000000000003,S. oralis,0.793728405815456
CH,3.8000000000000003,A. naeslundii,0.0499019522332256
CH,3.8000000000000003,V. dispar,0.15545011261371236
CH,3.8000000000000003,F. nucleatum,0.0008927473623117904
CH,3.8000000000000003,P. gingivalis_20709,2.6781975294271366e-05
CH,3.85,S. oralis,0.7928485055146548
CH,3.85,A. naeslundii,0.04980069428293414
CH,3.85,V. dispar,0.15650679277872737
CH,3.85,F. nucleatum,0.0008196744266972095
CH,3.85,P. gingivalis_20709,2.4332996986595152e-05
CH,3.9000000000000004,S. oralis,0.7919494054084097
CH,3.9000000000000004,A. naeslundii,0.04970453707632243
CH,3.9000000000000004,V. dispar,0.15757137880526817
CH,3.9000000000000004,F. nucleatum,0.0007525711104948674
CH,3.9000000000000004,P. gingivalis_20709,2.2107599504618715e-05
CH,3.95,S. oralis,0.7910315471249251
CH,3.95,A. naeslundii,0.049613495912196305
CH,3.95,V. dispar,0.15864392063677682
CH,3.95,F. nucleatum,0.0006909509152739797
CH,3.95,P. gingivalis_20709,2.008541082797323e-05
CH,4.0,S. oralis,0.7900953336497091
CH,4.0,A. naeslundii,0.04952758574608372
CH,4.0,V. dispar,0.1597244659020879
CH,4.0,F. nucleatum,0.0006343667945133067
CH,4.0,P. gingivalis_20709,1.8247907606034856e-05
CH,4.050000000000001,S. oralis,0.7891411323536868
CH,4.050000000000001,A. naeslundii,0.04944682136014371
CH,4.050000000000001,V. dispar,0.1608130599946195
CH,4.050000000000001,F. nucleatum,0.0005824080403011852
CH,4.050000000000001,P. gingivalis_20709,1.657825124875671e-05
CH,4.1,S. oralis,0.7881692778497534
CH,4.1,A. naeslundii,0.04937121752054685
CH,4.1,V. dispar,0.1619097461450751
CH,4.1,F. nucleatum,0.0005346973492050499
CH,4.1,P. gingivalis_20709,1.5061135419518098e-05
CH,4.15,S. oralis,0.7871800746247014
CH,4.15,A. naeslundii,0.04930078912201708
CH,4.15,V. dispar,0.1630145654846104
CH,4.15,F. nucleatum,0.0004908881214717995
CH,4.15,P. gingivalis_20709,1.3682647199220212e-05
CH,4.2,S. oralis,0.786173799480399
CH,4.2,A. naeslundii,0.049235551320477786
CH,4.2,V. dispar,0.16412755710036747
CH,4.2,F. nucleatum,0.0004506619587882911
CH,4.2,P. gingivalis_20709,1.2430139967327746e-05
CH,4.25,S. oralis,0.7851507037656463
CH,4.25,A. naeslundii,0.04917551965511588
CH,4.25,V. dispar,0.1652487580814584
CH,4.25,F. nucleatum,0.00041372637928674785
CH,4.25,P. gingivalis_20709,1.129211849276209e-05
CH,4.300000000000001,S. oralis,0.7841110154312928
CH,4.300000000000001,A. naeslundii,0.049120710160887884
CH,4.300000000000001,V. dispar,0.16637820355704253
CH,4.300000000000001,F. nucleatum,0.00037981271637306524
CH,4.300000000000001,P. gingivalis_20709,1.0258134403661761e-05
CH,4.35,S. oralis,0.7830549409227614
CH,4.35,A. naeslundii,0.04907113947236461
CH,4.35,V. dispar,0.16751592672698742
CH,4.35,F. nucleatum,0.00034867418678073377
CH,4.35,P. gingivalis_20709,9.318691105811098e-06
CH,4.4,S. oralis,0.7819826669230193
CH,4.4,A. naeslundii,0.049026824919731364
CH,4.4,V. dispar,0.16866195888556423
CH,4.4,F. nucleatum,0.000320084114383496
CH,4.4,P. gingivalis_20709,8.465157301777799e-06
CH,4.45,S. oralis,0.780894361971527
CH,4.45,A. naeslundii,0.04898778461688769
CH,4.45,V. dispar,0.1698163294402139
CH,4.45,F. nucleatum,0.0002938342836075012
CH,4.45,P. gingivalis_20709,7.689687763825516e-06
CH,4.5,S. oralis,0.779790177892997
CH,4.5,A. naeslundii,0.04895403754673273
CH,4.5,V. dispar,0.17097906591666034
CH,4.5,F. nucleatum,0.0002697334896583643
CH,4.5,P. gingivalis_20709,6.985153951469603e-06
CH,4.550000000000001,S. oralis,0.7786702512203115
CH,4.550000000000001,A. naeslundii,0.0489256036349483
CH,4.550000000000001,V. dispar,0.17215019397059575
CH,4.550000000000001,F. nucleatum,0.0002476060977636721
CH,4.550000000000001,P. gingivalis_20709,6.345076380731498e-06
CH,4.6,S. oralis,0.7775347044302784
CH,4.6,A. naeslundii,0.048902503822104926
CH,4.6,V. dispar,0.17332973738542948
CH,4.6,F. nucleatum,0.00022729079582305145
CH,4.6,P. gingivalis_20709,5.763566364119268e-06
CH,4.65,S. oralis,0.7763836470928166
CH,4.65,A. naeslundii,0.048884760131147675
CH,4.65,V. dispar,0.1745177180654073
CH,4.65,F. nucleatum,0.00020863943803482856
CH,4.65,P. gingivalis_20709,5.235272593736678e-06
CH,4.7,S. oralis,0.7752171769466127
CH,4.7,A. naeslundii,0.04887239572932726
CH,4.7,V. dispar,0.17571415602611165
CH,4.7,F. nucleatum,0.00019151596603582302
CH,4.7,P. gingivalis_20709,4.755331912629685e-06
CH,4.75,S. oralis,0.7740353808826876
CH,4.75,A. naeslundii,0.04886543498695689
CH,4.75,V. dispar,0.1769190693790403
CH,4.75,F. nucleatum,0.00017579542639399067
CH,4.75,P. gingivalis_20709,4.319324921058697e-06
CH,4.800000000000001,S. oralis,0.7728383358535666
CH,4.800000000000001,A. naeslundii,0.048863903532624195
CH,4.800000000000001,V. dispar,0.1781324743119166
CH,4.800000000000001,F. nucleatum,0.00016136306633692514
CH,4.800000000000001,P. gingivalis_20709,3.923235555745544e-06
CH,4.85,S. oralis,0.7716261096992053
CH,4.85,A. naeslundii,0.04886782830806897
CH,4.85,V. dispar,0.17935438506086293
CH,4.85,F. nucleatum,0.00014811351698438082
CH,4.85,P. gingivalis_20709,3.5634148782845014e-06
CH,4.9,S. oralis,0.7703987620026093
CH,4.9,A. naeslundii,0.04887723760108157
CH,4.9,V. dispar,0.18058481390553494
CH,4.9,F. nucleatum,0.00013594994627922968
CH,4.9,P. gingivalis_20709,3.2365444951091194e-06
CH,4.95,S. oralis,0.7691563446303388
CH,4.95,A. naeslundii,0.048892161128455444
CH,4.95,V. dispar,0.1818237710864604
CH,4.95,F. nucleatum,0.00012478354157568927
CH,4.95,P. gingivalis_20709,2.9396131697913723e-06
CH,5.0,S. oralis,0.7678989025516788
CH,5.0,A. naeslundii,0.04891263005054628
CH,5.0,V. dispar,0.18307126481191577
CH,5.0,F. nucleatum,0.00011453270283078521
CH,5.0,P. gingivalis_20709,2.6698830282418443e-06
CH,5.05,S. oralis,0.7666264744321013
CH,5.05,A. naeslundii,0.04893867701644728
CH,5.05,V. dispar,0.18432730121498989
CH,5.05,F. nucleatum,0.00010512247118744595
CH,5.05,P. gingivalis_20709,2.424865274162424e-06
CH,5.1000000000000005,S. oralis,0.7653390932034588
CH,5.1000000000000005,A. naeslundii,0.048970336197846395
CH,5.1000000000000005,V. dispar,0.18559188432035942
CH,5.1000000000000005,F. nucleatum,9.648398102648552e-05
CH,5.1000000000000005,P. gingivalis_20709,2.2022973089560737e-06
CH,5.15,S. oralis,0.7640367864769471
CH,5.15,A. naeslundii,0.0490076433686831
CH,5.15,V. dispar,0.18686501594299426
CH,5.15,F. nucleatum,8.855408487795284e-05
CH,5.15,P. gingivalis_20709,2.000126497498092e-06
CH,5.2,S. oralis,0.7627195771537554
CH,5.2,A. naeslundii,0.049050635905678486
CH,5.2,V. dispar,0.1881466956904452
CH,5.2,F. nucleatum,8.12747635883915e-05
CH,5.2,P. gingivalis_20709,1.816486532339582e-06
CH,5.25,S. oralis,0.7613874838550869
CH,5.25,A. naeslundii,0.04909935283245912
CH,5.25,V. dispar,0.18943692090031064
CH,5.25,F. nucleatum,7.459273087656457e-05
CH,5.25,P. gingivalis_20709,1.6496812668994563e-06
CH,5.3,S. oralis,0.7600405213603136
CH,5.3,A. naeslundii,0.049153834841267355
CH,5.3,V. dispar,0.1907356866044881
CH,5.3,F. nucleatum,6.845902546254107e-05
CH,5.3,P. gingivalis_20709,1.4981684685169777e-06
CH,5.3500000000000005,S. oralis,0.7586787009321506
CH,5.3500000000000005,A. naeslundii,0.049214124364006066
CH,5.3500000000000005,V. dispar,0.19204298542048476
CH,5.3500000000000005,F. nucleatum,6.282873491098218e-05
CH,5.3500000000000005,P. gingivalis_20709,1.3605484474092306e-06
CH,5.4,S. oralis,0.7573020306827642
CH,5.4,A. naeslundii,0.04928026561968397
CH,5.4,V. dispar,0.19335880747038156
CH,5.4,F. nucleatum,5.7660675802443134e-05
CH,5.4,P. gingivalis_20709,1.235551367567795e-06
CH,5.45,S. oralis,0.7559105160967029
