run_accession	sample_alias	fastq_ftp	fastq_md5	fastq_bytes	library_layout	library_strategy	library_source	library_selection
SRR30617655	NU_35	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/055/SRR30617655/SRR30617655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/055/SRR30617655/SRR30617655_2.fastq.gz	677365c36d61c16c473a2c08e0e2febc;f26e4f2a7e2aefe4781f89b1198b74e4	14337629;18455512	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617656	NU_34	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/056/SRR30617656/SRR30617656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/056/SRR30617656/SRR30617656_2.fastq.gz	e379a986f0ba430d2fcfd61a3da8086c;7cbc9504dacc3538c7432e8b1d7ef59b	16792181;21520495	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617661	NU_30	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/061/SRR30617661/SRR30617661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/061/SRR30617661/SRR30617661_2.fastq.gz	617c07937b02d7cb88a14c8422cc0e2e;948bc44869ad17b9310acffdf2bac2b6	16576532;20983328	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617662	NU_29	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/062/SRR30617662/SRR30617662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/062/SRR30617662/SRR30617662_2.fastq.gz	a87fa202473165fbb23d2439240443f3;7b083f39e76ad24ad35da4367b292f31	15776429;17213971	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617669	NU_05	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/069/SRR30617669/SRR30617669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/069/SRR30617669/SRR30617669_2.fastq.gz	77b0c90ebd1ae26be78f284b337dffa8;5ec70090befad1b403faeeec7bffccf4	12213211;10377436	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617670	NU_22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/070/SRR30617670/SRR30617670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/070/SRR30617670/SRR30617670_2.fastq.gz	3f452e974696d489a7493aad2b660223;0f3c814af145b9d506532a94ca21cf1f	8806444;11953311	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617671	NU_21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/071/SRR30617671/SRR30617671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/071/SRR30617671/SRR30617671_2.fastq.gz	325f0e54d8f27201b7210520ec34a5b0;6115ca0950c85b00c56de29fde5b0611	8858268;12021180	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617674	NU_18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/074/SRR30617674/SRR30617674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/074/SRR30617674/SRR30617674_2.fastq.gz	83bdbc039f10fec468411f052967aafa;87827f034c7dcc112d9caf588e2ee094	8264733;11011626	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617618	NU_12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/018/SRR30617618/SRR30617618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/018/SRR30617618/SRR30617618_2.fastq.gz	90a55c6b68d5dc829a66b3362452062d;df3d6f48eb44f51d4edba441e0ba3f79	5724069;8157555	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617620	NU_10	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/020/SRR30617620/SRR30617620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/020/SRR30617620/SRR30617620_2.fastq.gz	cd077e3a2bdfb0612ca3c99cbf74099e;5276f3fd1c32f245e0c736ecf13a31e2	14047640;17757690	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617621	NU_66	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/021/SRR30617621/SRR30617621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/021/SRR30617621/SRR30617621_2.fastq.gz	6cdccb0a29fff257ca8e10cef24a20d8;fc38f6a0384cb7aecb3598cfc0d00645	9435264;13581369	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617623	NU_64	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/023/SRR30617623/SRR30617623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/023/SRR30617623/SRR30617623_2.fastq.gz	0731b4b8bdaca1436390aa1a52cd1762;61b5ffd07004919524a131b58e4f4c56	8862171;12895415	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617625	NU_09	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/025/SRR30617625/SRR30617625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/025/SRR30617625/SRR30617625_2.fastq.gz	dcb048f49513c63aca2eebc69ee69a8c;f7b2b6fb5945c9da7e59314e3fe600d5	16213005;17701353	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617626	NU_62	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/026/SRR30617626/SRR30617626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/026/SRR30617626/SRR30617626_2.fastq.gz	3338cfda4f031b9161904f1b6dfaa7af;1af096a1cb7d9eb49006ce1b206fde28	6932142;9911987	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617636	NU_08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/036/SRR30617636/SRR30617636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/036/SRR30617636/SRR30617636_2.fastq.gz	303baa2b0e941a595f283baf247e7dfc;f225073848a52889487dd5e40c97b0dd	17664278;22202572	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617642	NU_47	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/042/SRR30617642/SRR30617642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/042/SRR30617642/SRR30617642_2.fastq.gz	daa26f7b0fd84266b0ef5f3a8a492dcb;3fee63697f8a38a10d3fbe72986af358	8418348;10841828	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617643	NU_46	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/043/SRR30617643/SRR30617643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/043/SRR30617643/SRR30617643_2.fastq.gz	327f6fe1df78031658e735318e73c473;15c4b3d5646aa04f30daac1319c2bc32	6357330;10235291	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617647	NU_07	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/047/SRR30617647/SRR30617647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/047/SRR30617647/SRR30617647_2.fastq.gz	d5dd4c0f3236d914df28dc46df07d635;73ad5a909934657e37ebb8d6a7d3255f	16974363;22188268	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617648	NU_42	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/048/SRR30617648/SRR30617648_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/048/SRR30617648/SRR30617648_2.fastq.gz	bff1ba1198fcf6768ac24a8ff55131b0;2a8ab80f91cd573bff3e5fe90f705a02	17168978;21773343	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617649	NU_41	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/049/SRR30617649/SRR30617649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/049/SRR30617649/SRR30617649_2.fastq.gz	0793bf3775e2a6392a4aee9d70c0fdf2;48bc226f7039cfd320ad9f1ba5d8ac1a	17166358;19007723	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617650	NU_40	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/050/SRR30617650/SRR30617650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/050/SRR30617650/SRR30617650_2.fastq.gz	7cca32e6fc2fc955ef0419ffb531a244;3d33f6867b07323df9e7f1770d93204d	11416702;14884220	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617651	NU_39	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/051/SRR30617651/SRR30617651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/051/SRR30617651/SRR30617651_2.fastq.gz	45d14c126134c39749da8e5ee145cf53;9ce6100265f7280051a4d79e8e82f9f6	14729942;16298683	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617652	NU_38	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/052/SRR30617652/SRR30617652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/052/SRR30617652/SRR30617652_2.fastq.gz	3842740c9c86c4f22de454bb01755feb;1c354a5f7d687aa4298c0de14d9cfb6f	15710732;19496077	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617665	NU_26	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/065/SRR30617665/SRR30617665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/065/SRR30617665/SRR30617665_2.fastq.gz	ae8fc2abe4db7e35a6979e740a4df1c7;a7c90febb4279617c75371cd0ea6fbee	15147581;19036639	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617666	NU_25	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/066/SRR30617666/SRR30617666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/066/SRR30617666/SRR30617666_2.fastq.gz	5c2583fc817b54ee07e5afbc3e5604a9;5f546d6a727cfc729080dd297ca17ded	14705402;16422766	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617672	NU_20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/072/SRR30617672/SRR30617672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/072/SRR30617672/SRR30617672_2.fastq.gz	545174c0a4a1be8bde628366e3b79300;5e6744040292ded5422a0ca063100cbf	9468516;13051868	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617673	NU_19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/073/SRR30617673/SRR30617673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/073/SRR30617673/SRR30617673_2.fastq.gz	0c897f4e163a6e13d559c8aedc31e4b5;19ec2bd134cb4e95ecd37af6a99f6f14	10260682;12386353	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617676	NU_16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/076/SRR30617676/SRR30617676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/076/SRR30617676/SRR30617676_2.fastq.gz	7bd995e1c9ee2e5eb7551ecaa882c9d9;27cd3b96e64d052edd33a8c5b0a9b7f3	8248967;11310756	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617681	NU_01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/081/SRR30617681/SRR30617681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/081/SRR30617681/SRR30617681_2.fastq.gz	6328f0f19539c3b58187de5e29ff2bbf;8a287e393a43c125f709854dd5bed6c2	23269620;25411489	PAIRED	AMPLICON	GENOMIC	RT-PCR
