condition,day,z_um,S.oralis,A.naeslundii,Vd/Vp,F.nucleatum,P.gingivalis
CH,21,31.827046153846155,0.08761955840656391,0.0957476022438361,0.07946384296967433,0.043583358924549356,0.056462132586882666
CH,21,33.595215384615386,0.08469825985435492,0.09097872077463529,0.07424129101519403,0.040627660623823225,0.05380345133539194
CH,21,35.36338461538462,0.08119117148602621,0.08494153153151275,0.06769937158633885,0.0372145111935261,0.05085557035337657
CH,21,37.13155384615385,0.07776238547208217,0.0799194176036578,0.06218800496739837,0.03440078195685951,0.04818682723607008
CH,21,38.89972307692308,0.07412679567455481,0.0742827677526153,0.05623334002657196,0.03141940008395184,0.04531472496306285
CH,21,40.66789230769231,0.07040460656086603,0.06901623141498138,0.050418689620131865,0.028524663114251614,0.04250049564796381
CH,21,42.436061538461544,0.06679671694739507,0.06330528418318583,0.04415002834195128,0.02542058274579736,0.039640638690728404
CH,21,44.20423076923077,0.06270086137243572,0.05634770528055155,0.03688879820924158,0.02175985397890402,0.036519279010975986
CH,21,45.9724,0.05890076079716285,0.05001901012534897,0.030785835425679888,0.01854044416298469,0.03372129161531726
CH,21,47.74056923076923,0.05606114498984355,0.04461468587844417,0.025849048496009067,0.015996228276680294,0.03126354139441481
CH,21,49.508738461538464,0.05392852279906853,0.040783891848360114,0.022534436402985678,0.014252678347894775,0.02951822310495071
CH,21,51.276907692307695,0.051347690443388924,0.03812390106180921,0.020119919029709235,0.012801974611834452,0.028309402187378742
CH,21,53.04507692307692,0.04973084271813815,0.035936810685178414,0.0179643606265577,0.0115393464668439,0.02715099667413877
CH,21,54.81324615384615,0.04844608769202843,0.03410028218506621,0.016236812046442468,0.010473429819401832,0.026187262488887288
CH,21,56.58141538461538,0.047240156154984086,0.032653992577718616,0.015018316227584505,0.009655431727878751,0.02545986592900963
CH,21,58.34958461538462,0.04617865197360515,0.03147381368594674,0.014026174312815644,0.00897811758869256,0.024808563784552883
CH,21,60.11775384615385,0.04531228542327881,0.030155572908906594,0.013009431374927933,0.008376573603480863,0.0241489954955446
CH,21,61.88592307692308,0.044642073269455865,0.029059423587452147,0.012176191185015995,0.00798434270127939,0.023762661130883947
CH,21,63.65409230769231,0.04394624324945303,0.028064336305340897,0.011340577674743077,0.0075793383428110535,0.023406477474894088
CH,21,65.42226153846154,0.043401293516254574,0.02744778416429957,0.010746167704779416,0.007278034206814109,0.023182596471041247
CH,21,67.19043076923077,0.04335135485356052,0.026983794445792835,0.010467935936340394,0.007206045422488107,0.022994782886085793
CH,21,68.9586,0.042547454591840506,0.026611277367919683,0.010254882945446298,0.006994527648203075,0.022958900895901024
