:START_ID,:END_ID,:TYPE,oral:STRING,strain_details:STRING,co_culture:STRING,comments:STRING,reference:STRING
sp_tannerella_forsythia,sp_fretibacterium_fastidiosum,SUPPORTS,Yes,,Cooked Meat Medium (CMM) with Mucin and Serum supplementation,Weak growth,Vartoukian2010 (10.1111/j.1462-2920.2009.02135.x)
sp_thermus_thermophilus,sp_synbiobacterium_thermophilum,SUPPORTS,No,S. thermophilumis a compost isolate,,,Ohno1999 (10.1271/bbb.63.1083)
sp_unknown_oral_isolate,sp_alloprevotella_tannerae,SUPPORTS,Yes,,,,Murugkar2023 (10.1080/20002297.2022.2143651)
sp_unknown_oral_isolate,sp_candidatus_peptostreptococcus_massiliae,SUPPORTS,Yes,,,,Murugkar2023 (10.1080/20002297.2022.2143651)
sp_unknown_oral_isolate,sp_eubacterium_yurii_subsp_yurii,SUPPORTS,Yes,,,,Murugkar2023 (10.1080/20002297.2022.2143651)
sp_unknown_oral_isolate,sp_lautropia_mirabilis,SUPPORTS,Yes,,,,Murugkar2023 (10.1080/20002297.2022.2143651)
sp_unknown_oral_isolate,sp_peptostreptococcus_massiliae,SUPPORTS,Yes,,,,Murugkar2023 (10.1080/20002297.2022.2143651)
sp_unknown_oral_isolate,sp_prevotella_oulorum,SUPPORTS,Yes,,,,Murugkar2023 (10.1080/20002297.2022.2143651)
sp_unknown_oral_isolate,sp_solobacterium_moorei,SUPPORTS,Yes,,,,Murugkar2023 (10.1080/20002297.2022.2143651)
sp_veillonella_dispar,sp_tannerella_serpentiformis_hmt_286,SUPPORTS,Yes,,,Weak growth stimulation,Vartoukian2016 (10.1177/0022034516651078)
sp_veillonella_parvula_dispar,sp_lachnospiraceae_sp_hmt_500,SUPPORTS,Yes,co-isolates,Support on diverse media,Satellite growth on PPA agar,Thompson2015 (10.1128/AEM.02156-15)
sp_yeasts,sp_abiotrophia,SUPPORTS,No,"Nutritionally variant streptococci, pyridoxal hydrochloride-related",BBL Soy Trypticase agar/ Difco Heart Infusion agar/Pyridoxyl supplemented media,"Satellite growth after 24 h, larger colonies at the outer edge of the zone at 48h, non-hemolytic or alpha-hemolytic satellite growth around helpers","Frenkel1961 (10.1038/191728a0), Rouff1991 (10.1128/cmr.4.2.184)"
sp_yeasts,sp_granulicatella,SUPPORTS,No,"Nutritionally variant streptococci, pyridoxal hydrochloride-related",BBL Soy Trypticase agar/ Difco Heart Infusion agar/Pyridoxyl supplemented media,"Satellite growth after 24 h, larger colonies at the outer edge of the zone at 48h, non-hemolytic or alpha-hemolytic satellite growth around helpers","Frenkel1961 (10.1038/191728a0), Rouff1991 (10.1128/cmr.4.2.184)"
