cond,day,file,fov,z_idx,z_frac,S.o,A.n,Vd/Vp,F.n,P.g
DH,10,241018_HOBIC24_5Spezies_FISH,3,34,0.8717948717948718,0.20947672426700592,0.24292494356632233,0.1377161294221878,0.13533858954906464,0.2745436131954193
DH,10,241018_HOBIC24_5Spezies_FISH,3,35,0.8974358974358975,0.20636802911758423,0.2317262887954712,0.13029681146144867,0.13556116819381714,0.29604771733283997
DH,10,241018_HOBIC24_5Spezies_FISH,3,36,0.9230769230769231,0.20583367347717285,0.224813774228096,0.1284969449043274,0.13545162975788116,0.30540400743484497
DH,10,241018_HOBIC24_5Spezies_FISH,3,37,0.9487179487179487,0.20479370653629303,0.22161486744880676,0.1260737180709839,0.13557380437850952,0.31194397807121277
DH,10,241018_HOBIC24_5Spezies_FISH,3,38,0.9743589743589743,0.20386995375156403,0.22077639400959015,0.1257122904062271,0.13495992124080658,0.31468141078948975
DH,10,241018_HOBIC24_5Spezies_FISH,3,39,1.0,0.203525111079216,0.21927553415298462,0.1256706565618515,0.13537923991680145,0.31614950299263
DH,10,241018_HOBIC24_5Spezies_FISH,15,0,0.0,0.2588047385215759,0.216209277510643,0.23498882353305817,0.07660291343927383,0.21339432895183563
DH,10,241018_HOBIC24_5Spezies_FISH,15,1,0.02702702702702703,0.2548438608646393,0.21390263736248016,0.2416052669286728,0.07681047171354294,0.212837815284729
DH,10,241018_HOBIC24_5Spezies_FISH,15,2,0.05405405405405406,0.250008761882782,0.21487097442150116,0.24595291912555695,0.07691027969121933,0.21225705742835999
DH,10,241018_HOBIC24_5Spezies_FISH,15,3,0.08108108108108109,0.24497844278812408,0.21638663113117218,0.25009793043136597,0.07766827940940857,0.21086877584457397
DH,10,241018_HOBIC24_5Spezies_FISH,15,4,0.10810810810810811,0.23772476613521576,0.2213098108768463,0.25454771518707275,0.07758580893278122,0.20883186161518097
DH,10,241018_HOBIC24_5Spezies_FISH,15,5,0.13513513513513514,0.2307089865207672,0.2243986576795578,0.2600559890270233,0.07842522859573364,0.20641112327575684
DH,10,241018_HOBIC24_5Spezies_FISH,15,6,0.16216216216216217,0.22386090457439423,0.22960887849330902,0.26397407054901123,0.07916475832462311,0.2033914029598236
DH,10,241018_HOBIC24_5Spezies_FISH,15,7,0.1891891891891892,0.21854209899902344,0.2324644774198532,0.269887238740921,0.08000364154577255,0.1991024762392044
DH,10,241018_HOBIC24_5Spezies_FISH,15,8,0.21621621621621623,0.21442195773124695,0.23487989604473114,0.27484312653541565,0.08082829415798187,0.19502678513526917
DH,10,241018_HOBIC24_5Spezies_FISH,15,9,0.24324324324324326,0.2109270989894867,0.23780952394008636,0.27902916073799133,0.08255033940076828,0.18968388438224792
DH,10,241018_HOBIC24_5Spezies_FISH,15,10,0.2702702702702703,0.20764854550361633,0.2419748455286026,0.2834140956401825,0.08274631947278976,0.1842162013053894
DH,10,241018_HOBIC24_5Spezies_FISH,15,11,0.2972972972972973,0.20751617848873138,0.2415708750486374,0.2880876362323761,0.08426167815923691,0.17856360971927643
