cond,day,file,fov,latCV_S.o,biomass_S.o,latCV_A.n,biomass_A.n,latCV_Vd/Vp,biomass_Vd/Vp,latCV_F.n,biomass_F.n,latCV_P.g,biomass_P.g,FnPg_patch_M1,FnPg_3d_M1
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,4,1.0605731010437012,105874.1171875,0.5070585608482361,297342.03125,1.2621020078659058,169163.9375,1.3369144201278687,115743.8828125,0.6643247604370117,160350.5625,0.8020200133323669,0.6001138091087341
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,5,0.6124366521835327,213541.578125,0.16449451446533203,1707478.0,0.40821555256843567,774083.0,0.1896446943283081,1284756.625,0.25323083996772766,930960.125,0.9999054074287415,0.938477098941803
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,6,0.3149714171886444,522149.28125,0.3025313913822174,711915.9375,0.4198418855667114,416346.65625,0.22901847958564758,528568.25,0.5635371804237366,224911.5,1.0,0.9059741497039795
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,7,0.7413148283958435,165776.9375,0.6252371072769165,217301.390625,1.7392966747283936,137076.296875,0.723646342754364,116339.9609375,1.0936251878738403,87717.8515625,0.9718390107154846,0.7614501118659973
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,8,0.7896504402160645,143806.84375,0.6864782571792603,192805.34375,2.69970440864563,105609.8046875,0.8301205039024353,93392.9296875,1.013981580734253,99152.390625,0.9577428698539734,0.6363929510116577
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,9,0.7274638414382935,166171.671875,0.6671075224876404,203946.953125,2.0573596954345703,121444.640625,0.7770745158195496,104782.890625,1.098307728767395,93103.875,0.9703624844551086,0.6884533166885376
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,10,0.8394993543624878,204721.03125,0.600238025188446,280774.75,1.9804617166519165,223768.515625,0.6797604560852051,140859.78125,1.1929750442504883,123405.1953125,0.9846692681312561,0.8076496720314026
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,11,0.7007851600646973,209048.234375,0.7254460453987122,228394.71875,1.960511326789856,181050.375,0.7868421077728271,114766.640625,1.1920781135559082,99086.2421875,0.9670708179473877,0.7080448865890503
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,12,0.4643855392932892,517993.34375,0.488804429769516,495411.9375,1.434453010559082,354033.375,0.5360667705535889,272002.6875,0.7109035849571228,231943.421875,0.9956120252609253,0.6690311431884766
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,13,0.7993456721305847,239927.8125,0.24330297112464905,983977.5625,1.4595893621444702,304434.6875,0.2986368238925934,594298.0625,0.33006975054740906,870373.0,1.0,0.9999873638153076
CH,10,240416_HOBIC22_5Spezies_FISH_Tag10,14,0.7745289206504822,227600.90625,0.3364032804965973,769681.75,1.9686884880065918,222924.828125,0.3723054826259613,453811.5,0.34385085105895996,604161.125,1.0,0.5525566935539246
CH,15,220817_HOBIC22_5Spezies_FISH_Tag15,0,0.4078572690486908,829023.3125,0.4095268249511719,859812.75,0.5051670074462891,726156.3125,0.4485691487789154,386508.375,0.383307546377182,822197.3125,0.9999585151672363,0.25969216227531433
CH,15,240416_HOBIC22_5Spezies_FISH_Tag15,0,0.6863187551498413,258177.171875,0.7215004563331604,220234.53125,3.430987596511841,102252.75,0.9351247549057007,79209.671875,1.1825568675994873,112317.1328125,0.835367739200592,0.447746604681015
CH,15,220817_HOBIC22_5Spezies_FISH_Tag15,1,0.36384257674217224,695719.125,0.4571548104286194,742845.125,0.5250303745269775,596882.625,0.473785400390625,366483.4375,0.3982155919075012,653967.3125,0.9999222159385681,0.2394140064716339
