Genus	Peri-implantitis	Mucositis	Health	Mucositis	Mucositis	Peri-implantitis	Health	Health	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Peri-implantitis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Health	Health	Health	Mucositis	Mucositis	Mucositis	Mucositis	Health	Mucositis	Mucositis	Mucositis	Peri-implantitis	Health	Health	Health	Mucositis	Mucositis	Health	Health	Health	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Mucositis	Peri-implantitis	Mucositis	Health	Health	Peri-implantitis	Peri-implantitis	Health	Health	Mucositis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Health	Peri-implantitis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Health	Health	Health	Health	Peri-implantitis	Health	Health	Health	Health	Health	Health	Mucositis	Peri-implantitis	Mucositis	Peri-implantitis	Health	Peri-implantitis	Health	Peri-implantitis	Health	Health	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Peri-implantitis	Mucositis	Mucositis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Health	Peri-implantitis	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health
Fusobacterium	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium	452	514	0	167	93	965	66	69	2512	408	1075	1892	1266	276	9	105	36	26	200	1377	1028	674	3	75	5	0	161	0	139	31	958	13	40	170	105	1021	172	482	0	10	195	0	1238	19	932	1317	131	458	10	591	1040	1135	140	1050	161	385	765	1038	1439	2266	380	232	156	376	2705	572	15	164	330	343	1769	1067	152	2267	497	1904	1125	3780	16	99	20	1066	6	194	254	195	23	547	143	2609	122	393	254	4334	252	143	77	1511	133	515	958	2360	149	15	6	184	572	385	91	2059	1714	1771	524	241	12	38	1926	211	3	0	3	0	170	239	2	1	575
Fusobacterium	567	61	196	24	140	191	13	49	68	6	3	16	12	174	30	15	19	9	199	8	7	19	43	79	11	34	9	24	424	26	557	13	2	16	9	18	92	14	18	81	0	6	514	20	398	292	471	206	106	8	32	35	57	30	94	189	23	20	69	1	35	10	22	111	10	3	17	2	123	86	580	283	811	167	218	15	45	20	8	6	5	4	84	39	171	17	181	170	24	0	173	481	224	0	81	13	13	6	118	0	1	0	387	1	1	0	305	342	28	387	1039	865	15	83	0	154	3	291	538	117	750	37	22	1244	38	2	634
Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	6	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Streptococcus	273	6	191	47	5	71	35	38	45	0	0	0	12	252	64	125	62	78	134	4	35	133	151	40	167	125	173	7	18	75	9	30	1	18	9.5	1	67	2	150	4248	328	0	26	77	17	4	197	192	513	30	47	16	65	2	31	27	17	10	12	59	2	16	67	33	3	475	3	170	98	111	49	8	398	1287	6	15	51	34	5	14	16	2	137	39	348	127	376	183	0	4	376	243	222	1	6	46	24	50	104	14	11	9	95	5	2	0	0	5	0	2	0	0	30	0	86	44	0	8	9	31	1	2	10	5	13	0	84
Streptococcus	3	2	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	3	9	17	3	1	2	0	1	0	1	0	1	0	0	0	0	2	0	0	5	2	1	0	2	1	0	5	8	5	0	0	0	1	0	2	3	0	1	1	0	0	0	1	0	0	0	0	1	3	1	0	0	4	8	0	1	0	0	0	0	0	0	10	0	4	0	4	2	0	0	5	10	13	0	1	1	0	1	2	0	0	0	2	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	6	0	1	0	1	1	0	0
Fusobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
